155;9;1101092016;Padang Harapan;
156;10;1101102001;Ladang Teungoh;
157;10;1101102002;Pucok Krueng;
158;10;1101102003;Silolo;
159;10;1101102004;Kampung Baru;
160;10;1101102005;Panton Bili;
161;10;1101102006;Paya Ateuk;
162;10;1101102007;Ladang Tuha;
163;10;1101102008;Mata Ie;
164;10;1101102009;Ujong Batee;
165;10;1101102010;Lhok Sialang Cut;
166;10;1101102011;Seuneubok;
167;10;1101102012;Ie Mirah;
168;10;1101102013;Pasie Rasian;
169;10;1101102014;Ujung Padang Rasian;
170;10;1101102015;Krueng Kalee;
171;10;1101102016;Lhok Sialang Rayeuk;
172;10;1101102017;Gampong Baro;
173;10;1101102018;Teupin Gajah;
174;10;1101102019;Ujung Padang Asahan;
175;10;1101102020;Pulo Ie II;
176;10;1101102021;Pante Raja;
177;11;1101112001;Tengah Peulumat;
178;11;1101112002;Paya Peulumat;
179;11;1101112003;Padang Peulumat;
180;11;1101112004;Aur Peulumat;
181;11;1101112005;Limau Saring;
182;11;1101112006;Beutong;
183;11;1101112007;Peuneulop;
184;11;1101112008;Gunung Rotan;
185;11;1101112009;Keumumu Hilir;
186;11;1101112010;Keumumu Hulu;
187;11;1101112011;Keumumu Seberang;
188;11;1101112012;Sawang Indah;
189;12;1101122001;Tutong;
190;12;1101122002;Teungoh Iboh;
191;12;1101122003;Peulokan;
192;12;1101122004;Kuta Iboh;
193;12;1101122005;Ujung Padang;
194;12;1101122006;Blang Baru;
195;12;1101122007;Blang Poroh;
196;12;1101122008;Pulo Ie;
197;12;1101122009;Suak Lokan;
198;12;1101122010;Iku Lhueng;
199;12;1101122011;Kuta Trieng;
200;12;1101122012;Pante Geulima;
201;12;1101122013;Panton Pawoh;
202;12;1101122014;Batee Meucanang;
203;12;1101122015;Panton Rubek;
204;13;1101132001;Koto;
205;13;1101132002;Alur Keujrun;
206;13;1101132003;Jambo Papan;
207;13;1101132004;Malaka;
208;13;1101132005;Koto Indarung;
209;13;1101132006;Siurai-Urai;
210;13;1101132007;Kampung Sawah;
211;13;1101132008;Kampung Padang;
212;13;1101132009;Pulo Air;
213;13;1101132010;Lawe Melang;
214;13;1101132011;Mersak;
215;13;1101132012;Simpang Dua;
216;13;1101132013;Simpang Tiga;
217;14;1101142001;Paya Dapur;
218;14;1101142002;Sapik;
219;14;1101142003;Alai;
220;14;1101142004;Durian Kawan;
221;14;1101142005;Lawe Sawah;
222;14;1101142006;Lawe Buluh Didi;
223;14;1101142007;Pucuk Lembang;
224;14;1101142008;Paya Laba;
225;14;1101142009;Lawe Cimanok;
226;15;1101152001;Pasie Seubadeh;
227;15;1101152002;Ladang Rimba;
228;15;1101152003;Ujong Pulo Rayeuk;
229;15;1101152004;Sawah Tingkeum;
230;15;1101152005;Simpang;
231;15;1101152006;Ujong Pulo Cut;
232;15;1101152008;Seuleukat;
233;16;1101162005;Pinto Rimba;
234;16;1101162006;Krueng Luas;
235;16;1101162007;Jambo Dalem;
236;16;1101162008;Kapa Sesak;
237;16;1101162009;Seuneubok Punto;
238;16;1101162010;Seuneubok Pusaka;
239;16;1101162011;Alur Bujok;
240;16;1101162012;Titi Poben;
241;17;1101172001;Buket Gadeng;
242;17;1101172002;Rambong;
243;17;1101172003;Seuneubok Keuranji;
244;17;1101172004;Seuneubok Alur Buloh;
245;17;1101172005;Ujong Tanoh;
246;17;1101172006;Ujong Gunong Cut;
247;17;1101172007;Ujong Gunung Rayeuk;
248;17;1101172008;Beutong;
249;17;1101172009;Jambo Keupok;
250;17;1101172010;Alurduamas;
251;18;1101182001;Ladang Rimba;
252;18;1101182002;Gunong Kapho;
253;18;1101182003;Kampong Teungoh;
254;18;1101182004;Krueng Batee;
255;18;1101182005;Pulo Paya;
256;18;1101182006;Jambo Papeun;
257;18;1101182007;Cot Bayu;
258;18;1101182008;Naca;
259;18;1101182009;Ie Jeureuneh;
260;18;1101182010;Lhok Raya;
261;19;1102012001;Engkeran;
262;19;1102012002;Rumah Kampung;
263;19;1102012004;Pasir Bangun;
264;19;1102012006;Kubu;
265;19;1102012007;Lawe Kongker;
266;19;1102012008;Kuta Cingkam II;
267;19;1102012009;Muara Baru;
268;19;1102012011;Kuta Batu I;
269;19;1102012012;Kuta Cingkam I;
270;19;1102012013;Kuta Batu II;
271;19;1102012014;Lawe Sempilang;
272;19;1102012015;Prapat Batu Nunggul;
273;19;1102012016;Pulo Sepang;
274;19;1102012017;Rih Mbelang;
275;19;1102012018;Kute Batu Baru;
276;19;1102012019;Darul Amin;
277;19;1102012020;Lawe Lubang Indah;
278;19;1102012021;Batu Hamparan;
279;19;1102012022;Paye Munje;
280;19;1102012023;Pulo Ndapdap;
281;19;1102012024;Pasir Nunggul;
282;19;1102012025;Cingkham Mekhanggun;
283;19;1102012026;Pintu Khimbe;
284;19;1102012027;Lawe Kongker Hilir;
285;19;1102012028;Pulo Gadung;
286;19;1102012029;Pasikh Pehkmate;
287;19;1102012030;Pasikh Nunang;
288;19;1102012031;Deleng Kukusen;
289;20;1102022001;Bukit Merdeka;
290;20;1102022002;Darul Aman;
291;20;1102022003;Lawe Kesumpat;
292;20;1102022004;Lawe Tua Gabungan;
293;20;1102022005;Lawe Sigala II;
294;20;1102022006;Lawe Sigala Timur;
295;20;1102022007;Lawe Sigala Barat;
296;20;1102022008;Suka Damai;
297;20;1102022009;Kute Tengah;
298;20;1102022010;Tanah Baru;
299;20;1102022011;Kedataran Gabungan;
300;20;1102022012;Gabungan Parsaroan;
301;20;1102022013;Lawe Loning Gabungan;
302;20;1102022014;Lawe Loning Aman;
303;20;1102022015;Suka Maju;
304;20;1102022016;Lawe Tua Makmur;
305;20;1102022017;Lawe Tua Persatuan;
306;20;1102022018;Lawe Serke;
307;20;1102022019;Lawe Rakat;
308;20;1102022020;Suka Jaya;
309;20;1102022021;Enmiya Batu Dua Ratus;
310;20;1102022022;Sebungke;
311;20;1102022023;Bukit Sepakat;
312;20;1102022024;Lawe Loning Sepakat;
313;20;1102022025;Lawe Loning I;
314;20;1102022026;Gaya Jaya;
315;20;1102022027;Gelah Musara;
316;20;1102022028;Mulie Dame;
317;20;1102022029;Lawe Loning Hakhapen;
318;20;1102022030;Karya Indah;
319;20;1102022031;Kayu Mbelin;
320;20;1102022032;Lawe Sigala Barat Jaya;
321;20;1102022033;Lawe Pekhidinen;
322;20;1102022034;Kertimbang;
323;20;1102022035;Ndauh Nitenggo;
324;21;1102032001;Bambel Gabungan;
325;21;1102032002;Kisam;
326;21;1102032005;Lawe Hijo;
327;21;1102032006;Pinding;
328;21;1102032009;Terutung Megara Asli;
329;21;1102032011;Biak Muli;
330;21;1102032012;Kute Lang-Lang;
331;21;1102032013;Pedesi;
332;21;1102032014;Terutung Payung Hulu;
333;21;1102032015;Terutung Payung Hilir;
334;21;1102032016;Tualang Sembilar;
335;21;1102032017;Kuning I;
336;21;1102032018;Kuning II;
337;21;1102032019;Cinta Damai;
338;21;1102032020;Likat;
339;21;1102032021;Rikit;
340;21;1102032023;Bambel;
341;21;1102032025;Lawe Kihing;
342;21;1102032026;Terutung Seperai;
343;21;1102032027;Kute Seri;
344;21;1102032028;Kuta Antara;
345;21;1102032029;Pulo Perengge;
346;21;1102032031;Pulo Kendondong;
347;21;1102032033;Pancakh Iman;
348;21;1102032034;Biak Muli Baru;
349;21;1102032035;Biak Muli Pantai Raja;
350;21;1102032036;Biak Muli Sejahtera;
351;21;1102032037;Lembah Haji;
352;21;1102032038;Terutung Payung Gabungan;
353;21;1102032039;Lawe Hijo Metuah;
354;21;1102032040;Ampera;
